%_node_ ______x1_____ ______x2_____ ______T______ ______q______
      1 +2.500000e-03 +0.000000e+00 +1.558311e+02 -2.608700e+04
      2 +7.500000e-03 +0.000000e+00 +1.558729e+02 -2.608700e+04
      3 +1.250000e-02 +0.000000e+00 +1.557487e+02 -2.608700e+04
      4 +1.750000e-02 +0.000000e+00 +1.558729e+02 -2.608700e+04
      5 +2.250000e-02 +0.000000e+00 +1.558311e+02 -2.608700e+04
      6 +2.500000e-02 +2.500000e-03 +1.555089e+02 +0.000000e+00
      7 +2.500000e-02 +7.500000e-03 +1.547979e+02 +0.000000e+00
      8 +2.500000e-02 +1.250000e-02 +1.541829e+02 +0.000000e+00
      9 +2.500000e-02 +1.750000e-02 +1.537194e+02 +0.000000e+00
     10 +2.500000e-02 +2.250000e-02 +1.534113e+02 +0.000000e+00
     11 +2.250000e-02 +2.500000e-02 +1.533086e+02 +6.198515e+03
     12 +2.000000e-02 +2.250000e-02 +1.533372e+02 +6.200229e+03
     13 +2.000000e-02 +1.750000e-02 +1.536399e+02 +6.218395e+03
     14 +2.000000e-02 +1.250000e-02 +1.541025e+02 +6.246152e+03
     15 +2.000000e-02 +7.500000e-03 +1.547278e+02 +6.283669e+03
     16 +1.750000e-02 +5.000000e-03 +1.554734e+02 +6.328406e+03
     17 +1.500000e-02 +7.500000e-03 +1.540591e+02 +6.243545e+03
     18 +1.500000e-02 +1.250000e-02 +1.530067e+02 +6.180404e+03
     19 +1.500000e-02 +1.750000e-02 +1.522575e+02 +6.135449e+03
     20 +1.500000e-02 +2.250000e-02 +1.518098e+02 +6.108587e+03
     21 +1.250000e-02 +2.500000e-02 +1.517465e+02 +6.104788e+03
     22 +1.000000e-02 +2.250000e-02 +1.518098e+02 +6.108587e+03
     23 +1.000000e-02 +1.750000e-02 +1.522575e+02 +6.135449e+03
     24 +1.000000e-02 +1.250000e-02 +1.530067e+02 +6.180404e+03
     25 +1.000000e-02 +7.500000e-03 +1.540591e+02 +6.243545e+03
     26 +7.500000e-03 +5.000000e-03 +1.554734e+02 +6.328406e+03
     27 +5.000000e-03 +7.500000e-03 +1.547278e+02 +6.283669e+03
     28 +5.000000e-03 +1.250000e-02 +1.541025e+02 +6.246152e+03
     29 +5.000000e-03 +1.750000e-02 +1.536399e+02 +6.218395e+03
     30 +5.000000e-03 +2.250000e-02 +1.533372e+02 +6.200229e+03
     31 +2.500000e-03 +2.500000e-02 +1.533086e+02 +6.198515e+03
     32 +0.000000e+00 +2.250000e-02 +1.534113e+02 +0.000000e+00
     33 +0.000000e+00 +1.750000e-02 +1.537194e+02 +0.000000e+00
     34 +0.000000e+00 +1.250000e-02 +1.541829e+02 +0.000000e+00
     35 +0.000000e+00 +7.500000e-03 +1.547979e+02 +0.000000e+00
     36 +0.000000e+00 +2.500000e-03 +1.555089e+02 +0.000000e+00

%_intp_ ______x1_____ ______x2_____ ______T______ _____qx1_____ _____qx2_____
      1 +1.250000e-02 +3.107960e-04 +1.557060e+02 +1.336957e-08 +2.783126e+04
      2 +1.250000e-02 +6.195981e-04 +1.556624e+02 +4.979483e-09 +2.871488e+04
      3 +1.250000e-02 +6.215921e-04 +1.556621e+02 +3.149125e-09 +2.872124e+04
      4 +1.250000e-02 +6.235989e-04 +1.556618e+02 -1.784883e-09 +2.872765e+04
      5 +1.250000e-02 +9.323881e-04 +1.556166e+02 +3.103651e-09 +2.981395e+04
      6 +1.250000e-02 +1.239196e-03 +1.555700e+02 +6.025402e-10 +3.108913e+04
      7 +1.250000e-02 +1.243184e-03 +1.555693e+02 +2.285105e-09 +3.110699e+04
      8 +1.250000e-02 +1.247203e-03 +1.555687e+02 +2.967226e-09 +3.112503e+04
      9 +1.250000e-02 +1.555401e-03 +1.555196e+02 +2.773959e-09 +3.261040e+04
     10 +1.250000e-02 +1.863292e-03 +1.554681e+02 +2.478373e-09 +3.430467e+04
     11 +1.250000e-02 +1.867617e-03 +1.554674e+02 +3.069545e-09 +3.433005e+04
     12 +1.250000e-02 +1.871947e-03 +1.554667e+02 +2.592060e-09 +3.435550e+04
     13 +1.250000e-02 +2.179834e-03 +1.554123e+02 +2.501110e-09 +3.628417e+04
     14 +1.250000e-02 +2.487414e-03 +1.553549e+02 +1.750777e-09 +3.845715e+04
     15 +1.250000e-02 +2.492050e-03 +1.553540e+02 +3.251444e-09 +3.849186e+04
     16 +1.250000e-02 +2.496694e-03 +1.553531e+02 +2.501110e-09 +3.852668e+04
     17 +1.250000e-02 +2.804837e-03 +1.552919e+02 +2.546585e-09 +4.096744e+04
     18 +1.250000e-02 +3.113356e-03 +1.552266e+02 +2.751221e-09 +4.365335e+04
     19 +1.250000e-02 +3.117625e-03 +1.552257e+02 +3.069545e-09 +4.369200e+04
     20 +1.250000e-02 +3.121888e-03 +1.552248e+02 +3.319656e-09 +4.373065e+04
     21 +1.250000e-02 +3.430412e-03 +1.551551e+02 +3.103651e-09 +4.660558e+04
     22 +1.250000e-02 +3.739312e-03 +1.550809e+02 +2.228262e-09 +4.954454e+04
     23 +1.250000e-02 +3.743199e-03 +1.550799e+02 +2.262368e-09 +4.958114e+04
     24 +1.250000e-02 +3.747091e-03 +1.550789e+02 +2.091838e-09 +4.961776e+04
     25 +1.250000e-02 +4.057399e-03 +1.549997e+02 +4.035883e-09 +5.242154e+04
     26 +1.250000e-02 +4.369641e-03 +1.549160e+02 +4.683898e-09 +5.481365e+04
     27 +1.250000e-02 +4.371600e-03 +1.549154e+02 +3.899459e-09 +5.482664e+04
     28 +1.250000e-02 +4.373546e-03 +1.549149e+02 +4.774847e-10 +5.483952e+04
     29 +1.250000e-02 +4.685800e-03 +1.548279e+02 +6.389200e-09 +5.648566e+04
     30 +1.250000e-02 +5.000000e-03 +1.547385e+02 +1.159606e-09 +5.715567e+04
     31 +1.250000e-02 +5.351031e-03 +1.546384e+02 -6.173195e-09 +5.664411e+04
     32 +1.250000e-02 +5.694144e-03 +1.545425e+02 +1.637090e-09 +5.503867e+04
     33 +1.250000e-02 +5.702062e-03 +1.545403e+02 -3.103651e-09 +5.499162e+04
     34 +1.250000e-02 +5.710162e-03 +1.545381e+02 -3.410605e-10 +5.494310e+04
     35 +1.250000e-02 +6.053092e-03 +1.544458e+02 -8.299139e-10 +5.261886e+04
     36 +1.250000e-02 +6.388287e-03 +1.543597e+02 -1.989520e-09 +5.012786e+04
     37 +1.250000e-02 +6.402276e-03 +1.543562e+02 +1.136868e-11 +5.002497e+04
     38 +1.250000e-02 +6.412006e-03 +1.543538e+02 -7.958079e-11 +4.995356e+04
     39 +1.250000e-02 +6.852432e-03 +1.542471e+02 -2.273737e-10 +4.697711e+04
     40 +1.250000e-02 +6.853263e-03 +1.542469e+02 -1.011813e-09 +4.697213e+04
     41 +1.250000e-02 +6.882515e-03 +1.542401e+02 -9.094947e-10 +4.679871e+04
     42 +1.250000e-02 +7.297092e-03 +1.541453e+02 -1.432454e-09 +4.477355e+04
     43 +1.250000e-02 +7.308915e-03 +1.541427e+02 -8.867573e-10 +4.472856e+04
     44 +1.250000e-02 +7.741103e-03 +1.540474e+02 -1.068656e-09 +4.359999e+04
     45 +1.250000e-02 +7.765589e-03 +1.540421e+02 -1.659828e-09 +4.356606e+04
     46 +1.250000e-02 +8.185114e-03 +1.539510e+02 +1.818989e-10 +4.345386e+04
