%_node_ ______x1_____ ______x2_____ ______T______ ______q______
      1 +0.000000e+00 +0.000000e+00 +1.557465e+02 -2.608700e+04
      2 +5.000000e-03 +0.000000e+00 +1.557396e+02 -2.608700e+04
      3 +1.000000e-02 +0.000000e+00 +1.556730e+02 -2.608700e+04
      4 +1.500000e-02 +0.000000e+00 +1.556730e+02 -2.608700e+04
      5 +2.000000e-02 +0.000000e+00 +1.557396e+02 -2.608700e+04
      6 +2.500000e-02 +0.000000e+00 +1.557465e+02 -2.608700e+04
      7 +2.500000e-02 +0.000000e+00 +1.557465e+02 +0.000000e+00
      8 +2.500000e-02 +5.000000e-03 +1.550913e+02 +0.000000e+00
      9 +2.500000e-02 +1.000000e-02 +1.544393e+02 +0.000000e+00
     10 +2.500000e-02 +1.500000e-02 +1.538914e+02 +0.000000e+00
     11 +2.500000e-02 +2.000000e-02 +1.534973e+02 +0.000000e+00
     12 +2.500000e-02 +2.500000e-02 +1.532668e+02 +0.000000e+00
     13 +2.500000e-02 +2.500000e-02 +1.532668e+02 +6.196010e+03
     14 +2.000000e-02 +2.500000e-02 +1.531866e+02 +6.191194e+03
     15 +2.000000e-02 +2.500000e-02 +1.531866e+02 +6.191194e+03
     16 +2.000000e-02 +2.000000e-02 +1.534154e+02 +6.204927e+03
     17 +2.000000e-02 +1.500000e-02 +1.538096e+02 +6.228576e+03
     18 +2.000000e-02 +1.000000e-02 +1.543677e+02 +6.262061e+03
     19 +2.000000e-02 +5.000000e-03 +1.551384e+02 +6.308307e+03
     20 +2.000000e-02 +5.000000e-03 +1.551384e+02 +6.308307e+03
     21 +1.500000e-02 +5.000000e-03 +1.549599e+02 +6.297597e+03
     22 +1.500000e-02 +5.000000e-03 +1.549599e+02 +6.297597e+03
     23 +1.500000e-02 +1.000000e-02 +1.537302e+02 +6.223810e+03
     24 +1.500000e-02 +1.500000e-02 +1.528320e+02 +6.169922e+03
     25 +1.500000e-02 +2.000000e-02 +1.522315e+02 +6.133889e+03
     26 +1.500000e-02 +2.500000e-02 +1.519386e+02 +6.116319e+03
     27 +1.500000e-02 +2.500000e-02 +1.519386e+02 +6.116319e+03
     28 +1.000000e-02 +2.500000e-02 +1.519386e+02 +6.116319e+03
     29 +1.000000e-02 +2.500000e-02 +1.519386e+02 +6.116319e+03
     30 +1.000000e-02 +2.000000e-02 +1.522315e+02 +6.133889e+03
     31 +1.000000e-02 +1.500000e-02 +1.528320e+02 +6.169922e+03
     32 +1.000000e-02 +1.000000e-02 +1.537302e+02 +6.223810e+03
     33 +1.000000e-02 +5.000000e-03 +1.549599e+02 +6.297597e+03
     34 +1.000000e-02 +5.000000e-03 +1.549599e+02 +6.297597e+03
     35 +5.000000e-03 +5.000000e-03 +1.551384e+02 +6.308307e+03
     36 +5.000000e-03 +5.000000e-03 +1.551384e+02 +6.308307e+03
     37 +5.000000e-03 +1.000000e-02 +1.543677e+02 +6.262061e+03
     38 +5.000000e-03 +1.500000e-02 +1.538096e+02 +6.228576e+03
     39 +5.000000e-03 +2.000000e-02 +1.534154e+02 +6.204927e+03
     40 +5.000000e-03 +2.500000e-02 +1.531866e+02 +6.191194e+03
     41 +5.000000e-03 +2.500000e-02 +1.531866e+02 +6.191194e+03
     42 +0.000000e+00 +2.500000e-02 +1.532668e+02 +6.196010e+03
     43 +0.000000e+00 +2.500000e-02 +1.532668e+02 +0.000000e+00
     44 +0.000000e+00 +2.000000e-02 +1.534973e+02 +0.000000e+00
     45 +0.000000e+00 +1.500000e-02 +1.538914e+02 +0.000000e+00
     46 +0.000000e+00 +1.000000e-02 +1.544393e+02 +0.000000e+00
     47 +0.000000e+00 +5.000000e-03 +1.550913e+02 +0.000000e+00
     48 +0.000000e+00 +0.000000e+00 +1.557465e+02 +0.000000e+00

%_intp_ ______x1_____ ______x2_____ ______T______ _____qx1_____ _____qx2_____
      1 +1.250000e-02 +3.107960e-04 +1.556199e+02 -2.364686e-09 +2.753039e+04
      2 +1.250000e-02 +6.195981e-04 +1.555771e+02 +9.549694e-10 +2.783288e+04
      3 +1.250000e-02 +6.215921e-04 +1.555768e+02 +1.000444e-09 +2.783500e+04
      4 +1.250000e-02 +6.235989e-04 +1.555766e+02 -9.094947e-11 +2.783713e+04
      5 +1.250000e-02 +9.323881e-04 +1.555333e+02 +9.094947e-10 +2.819132e+04
      6 +1.250000e-02 +1.239196e-03 +1.554898e+02 -1.091394e-09 +2.859827e+04
      7 +1.250000e-02 +1.243184e-03 +1.554892e+02 -3.751666e-10 +2.860394e+04
      8 +1.250000e-02 +1.247203e-03 +1.554886e+02 +6.480150e-10 +2.860967e+04
      9 +1.250000e-02 +1.555401e-03 +1.554442e+02 +1.250555e-10 +2.908062e+04
     10 +1.250000e-02 +1.863292e-03 +1.553990e+02 -9.777068e-10 +2.961816e+04
     11 +1.250000e-02 +1.867617e-03 +1.553984e+02 +6.139089e-10 +2.962623e+04
     12 +1.250000e-02 +1.871947e-03 +1.553977e+02 +1.659828e-09 +2.963431e+04
     13 +1.250000e-02 +2.179834e-03 +1.553516e+02 +1.250555e-09 +3.024862e+04
     14 +1.250000e-02 +2.487414e-03 +1.553046e+02 +7.048584e-10 +3.094533e+04
     15 +1.250000e-02 +2.492050e-03 +1.553039e+02 +1.136868e-09 +3.095651e+04
     16 +1.250000e-02 +2.496694e-03 +1.553032e+02 +9.094947e-11 +3.096773e+04
     17 +1.250000e-02 +2.804837e-03 +1.552549e+02 +1.364242e-09 +3.176027e+04
     18 +1.250000e-02 +3.113356e-03 +1.552052e+02 +9.549694e-10 +3.265315e+04
     19 +1.250000e-02 +3.117625e-03 +1.552045e+02 +2.728484e-10 +3.266623e+04
     20 +1.250000e-02 +3.121888e-03 +1.552038e+02 +2.114575e-09 +3.267931e+04
     21 +1.250000e-02 +3.430412e-03 +1.551526e+02 +9.094947e-11 +3.367851e+04
     22 +1.250000e-02 +3.739312e-03 +1.550998e+02 +1.659828e-09 +3.478031e+04
     23 +1.250000e-02 +3.743199e-03 +1.550991e+02 +1.114131e-09 +3.479478e+04
     24 +1.250000e-02 +3.747091e-03 +1.550984e+02 -1.068656e-09 +3.480929e+04
     25 +1.250000e-02 +4.057399e-03 +1.550435e+02 +4.547474e-10 +3.600841e+04
     26 +1.250000e-02 +4.369641e-03 +1.549863e+02 +2.091838e-09 +3.728081e+04
     27 +1.250000e-02 +4.371600e-03 +1.549859e+02 +1.023182e-10 +3.728892e+04
     28 +1.250000e-02 +4.373546e-03 +1.549856e+02 +1.500666e-09 +3.729698e+04
     29 +1.250000e-02 +4.685800e-03 +1.549263e+02 +2.273737e-11 +3.859639e+04
     30 +1.250000e-02 +5.000000e-03 +1.548647e+02 +1.330136e-09 +3.987970e+04
     31 +1.250000e-02 +5.351031e-03 +1.547935e+02 +7.526069e-09 +4.121750e+04
     32 +1.250000e-02 +5.694144e-03 +1.547218e+02 +6.821210e-11 +4.236520e+04
     33 +1.250000e-02 +5.702062e-03 +1.547201e+02 -3.774403e-09 +4.238942e+04
     34 +1.250000e-02 +5.710162e-03 +1.547184e+02 +2.194156e-09 +4.241410e+04
     35 +1.250000e-02 +6.053092e-03 +1.546448e+02 +4.069989e-09 +4.335021e+04
     36 +1.250000e-02 +6.388287e-03 +1.545715e+02 -1.125500e-09 +4.405261e+04
     37 +1.250000e-02 +6.402276e-03 +1.545684e+02 +2.421530e-09 +4.407732e+04
     38 +1.250000e-02 +6.412006e-03 +1.545663e+02 -1.421085e-09 +4.409430e+04
     39 +1.250000e-02 +6.852432e-03 +1.544685e+02 -7.048584e-10 +4.468309e+04
     40 +1.250000e-02 +6.853263e-03 +1.544683e+02 -1.284661e-09 +4.468388e+04
