%_node_ ______x1_____ ______x2_____ ______T______ ______q______
      1 +0.000000e+00 +0.000000e+00 +1.036119e+02 -2.329200e+04
      2 +1.000000e-03 +0.000000e+00 +1.036089e+02 -2.329200e+04
      3 +2.000000e-03 +0.000000e+00 +1.035992e+02 -2.329200e+04
      4 +3.000000e-03 +0.000000e+00 +1.035779e+02 -2.329200e+04
      5 +4.000000e-03 +0.000000e+00 +1.035402e+02 -2.329200e+04
      6 +5.000000e-03 +0.000000e+00 +1.034837e+02 -2.329200e+04
      7 +6.000000e-03 +0.000000e+00 +1.034090e+02 -2.329200e+04
      8 +7.000000e-03 +0.000000e+00 +1.033199e+02 -2.329200e+04
      9 +8.000000e-03 +0.000000e+00 +1.032230e+02 -2.329200e+04
     10 +9.000000e-03 +0.000000e+00 +1.031264e+02 -2.329200e+04
     11 +1.000000e-02 +0.000000e+00 +1.030377e+02 -2.329200e+04
     12 +1.100000e-02 +0.000000e+00 +1.029621e+02 -2.329200e+04
     13 +1.200000e-02 +0.000000e+00 +1.029015e+02 -2.329200e+04
     14 +1.300000e-02 +0.000000e+00 +1.028556e+02 -2.329200e+04
     15 +1.400000e-02 +0.000000e+00 +1.028229e+02 -2.329200e+04
     16 +1.500000e-02 +0.000000e+00 +1.028008e+02 -2.329200e+04
     17 +1.600000e-02 +0.000000e+00 +1.027860e+02 -2.329200e+04
     18 +1.700000e-02 +0.000000e+00 +1.027749e+02 -2.329200e+04
     19 +1.800000e-02 +0.000000e+00 +1.027634e+02 -2.329200e+04
     20 +1.900000e-02 +0.000000e+00 +1.027483e+02 -2.329200e+04
     21 +2.000000e-02 +0.000000e+00 +1.027277e+02 -2.329200e+04
     22 +2.100000e-02 +0.000000e+00 +1.027019e+02 -2.329200e+04
     23 +2.200000e-02 +0.000000e+00 +1.026729e+02 -2.329200e+04
     24 +2.300000e-02 +0.000000e+00 +1.026443e+02 -2.329200e+04
     25 +2.400000e-02 +0.000000e+00 +1.026203e+02 -2.329200e+04
     26 +2.500000e-02 +0.000000e+00 +1.026038e+02 -2.329200e+04
     27 +2.600000e-02 +0.000000e+00 +1.025950e+02 -2.329200e+04
     28 +2.700000e-02 +0.000000e+00 +1.025913e+02 -2.329200e+04
     29 +2.800000e-02 +0.000000e+00 +1.025904e+02 -2.329200e+04
     30 +2.800000e-02 +0.000000e+00 +1.025904e+02 +0.000000e+00
     31 +2.800000e-02 +1.020312e-03 +1.021146e+02 +0.000000e+00
     32 +2.800000e-02 +2.040624e-03 +1.016382e+02 +0.000000e+00
     33 +2.800000e-02 +3.060935e-03 +1.011632e+02 +0.000000e+00
     34 +2.800000e-02 +4.081247e-03 +1.006819e+02 +0.000000e+00
     35 +2.800000e-02 +5.101559e-03 +1.001392e+02 +0.000000e+00
     36 +2.800000e-02 +6.121871e-03 +9.950701e+01 +0.000000e+00
     37 +2.800000e-02 +7.142183e-03 +9.888989e+01 +0.000000e+00
     38 +2.800000e-02 +8.162495e-03 +9.832815e+01 +0.000000e+00
     39 +2.800000e-02 +9.182806e-03 +9.782619e+01 +0.000000e+00
     40 +2.800000e-02 +1.020312e-02 +9.738425e+01 +0.000000e+00
     41 +2.800000e-02 +1.122343e-02 +9.700198e+01 +0.000000e+00
     42 +2.800000e-02 +1.224374e-02 +9.667896e+01 +0.000000e+00
     43 +2.800000e-02 +1.326405e-02 +9.641476e+01 +0.000000e+00
     44 +2.800000e-02 +1.428437e-02 +9.620900e+01 +0.000000e+00
     45 +2.800000e-02 +1.530468e-02 +9.606132e+01 +0.000000e+00
     46 +2.800000e-02 +1.632499e-02 +9.597370e+01 +0.000000e+00
     47 +2.800000e-02 +1.632499e-02 +9.597370e+01 +2.758422e+03
     48 +2.700000e-02 +1.632499e-02 +9.594491e+01 +2.756695e+03
     49 +2.700000e-02 +1.632499e-02 +9.594491e+01 +2.756695e+03
     50 +2.700000e-02 +1.529544e-02 +9.603423e+01 +2.762054e+03
     51 +2.700000e-02 +1.426590e-02 +9.618396e+01 +2.771038e+03
     52 +2.700000e-02 +1.323636e-02 +9.639277e+01 +2.783566e+03
     53 +2.700000e-02 +1.220681e-02 +9.666106e+01 +2.799663e+03
     54 +2.700000e-02 +1.117727e-02 +9.698920e+01 +2.819352e+03
     55 +2.700000e-02 +1.014772e-02 +9.737763e+01 +2.842658e+03
     56 +2.700000e-02 +9.118178e-03 +9.782682e+01 +2.869609e+03
     57 +2.700000e-02 +8.088633e-03 +9.833723e+01 +2.900234e+03
