%_node_ ______x1_____ ______x2_____ ______T______ ______q______
      1 +0.000000e+00 +0.000000e+00 +9.215342e+01 -2.329200e+04
      2 +1.000000e-03 +0.000000e+00 +9.215255e+01 -2.329200e+04
      3 +2.000000e-03 +0.000000e+00 +9.214979e+01 -2.329200e+04
      4 +3.000000e-03 +0.000000e+00 +9.214446e+01 -2.329200e+04
      5 +4.000000e-03 +0.000000e+00 +9.213610e+01 -2.329200e+04
      6 +5.000000e-03 +0.000000e+00 +9.212498e+01 -2.329200e+04
      7 +6.000000e-03 +0.000000e+00 +9.211207e+01 -2.329200e+04
      8 +7.000000e-03 +0.000000e+00 +9.209880e+01 -2.329200e+04
      9 +8.000000e-03 +0.000000e+00 +9.208664e+01 -2.329200e+04
     10 +9.000000e-03 +0.000000e+00 +9.207678e+01 -2.329200e+04
     11 +1.000000e-02 +0.000000e+00 +9.206998e+01 -2.329200e+04
     12 +1.100000e-02 +0.000000e+00 +9.206635e+01 -2.329200e+04
     13 +1.200000e-02 +0.000000e+00 +9.206547e+01 -2.329200e+04
     14 +1.300000e-02 +0.000000e+00 +9.206696e+01 -2.329200e+04
     15 +1.400000e-02 +0.000000e+00 +9.207072e+01 -2.329200e+04
     16 +1.500000e-02 +0.000000e+00 +9.207696e+01 -2.329200e+04
     17 +1.600000e-02 +0.000000e+00 +9.208577e+01 -2.329200e+04
     18 +1.700000e-02 +0.000000e+00 +9.209664e+01 -2.329200e+04
     19 +1.800000e-02 +0.000000e+00 +9.210848e+01 -2.329200e+04
     20 +1.900000e-02 +0.000000e+00 +9.212023e+01 -2.329200e+04
     21 +2.000000e-02 +0.000000e+00 +9.213132e+01 -2.329200e+04
     22 +2.100000e-02 +0.000000e+00 +9.214183e+01 -2.329200e+04
     23 +2.200000e-02 +0.000000e+00 +9.215220e+01 -2.329200e+04
     24 +2.300000e-02 +0.000000e+00 +9.216279e+01 -2.329200e+04
     25 +2.400000e-02 +0.000000e+00 +9.217357e+01 -2.329200e+04
     26 +2.500000e-02 +0.000000e+00 +9.218403e+01 -2.329200e+04
     27 +2.600000e-02 +0.000000e+00 +9.219310e+01 -2.329200e+04
     28 +2.700000e-02 +0.000000e+00 +9.219932e+01 -2.329200e+04
     29 +2.800000e-02 +0.000000e+00 +9.220131e+01 -2.329200e+04
     30 +2.800000e-02 +0.000000e+00 +9.220131e+01 +0.000000e+00
     31 +2.800000e-02 +1.032545e-03 +9.208348e+01 +0.000000e+00
     32 +2.800000e-02 +2.065090e-03 +9.197118e+01 +0.000000e+00
     33 +2.800000e-02 +3.097635e-03 +9.186575e+01 +0.000000e+00
     34 +2.800000e-02 +4.130180e-03 +9.176775e+01 +0.000000e+00
     35 +2.800000e-02 +5.162725e-03 +9.166902e+01 +0.000000e+00
     36 +2.800000e-02 +6.195270e-03 +9.156285e+01 +0.000000e+00
     37 +2.800000e-02 +7.227816e-03 +9.146331e+01 +0.000000e+00
     38 +2.800000e-02 +8.260361e-03 +9.137617e+01 +0.000000e+00
     39 +2.800000e-02 +9.292906e-03 +9.130222e+01 +0.000000e+00
     40 +2.800000e-02 +1.032545e-02 +9.124160e+01 +0.000000e+00
     41 +2.800000e-02 +1.135800e-02 +9.119432e+01 +0.000000e+00
     42 +2.800000e-02 +1.239054e-02 +9.116038e+01 +0.000000e+00
     43 +2.800000e-02 +1.342309e-02 +9.114026e+01 +0.000000e+00
     44 +2.800000e-02 +1.342309e-02 +9.114026e+01 +2.468416e+03
     45 +2.700000e-02 +1.342309e-02 +9.113372e+01 +2.468023e+03
     46 +2.700000e-02 +1.342309e-02 +9.113372e+01 +2.468023e+03
     47 +2.700000e-02 +1.237020e-02 +9.115457e+01 +2.469274e+03
     48 +2.700000e-02 +1.131731e-02 +9.118959e+01 +2.471375e+03
     49 +2.700000e-02 +1.026443e-02 +9.123846e+01 +2.474307e+03
     50 +2.700000e-02 +9.211543e-03 +9.130120e+01 +2.478072e+03
     51 +2.700000e-02 +8.158657e-03 +9.137783e+01 +2.482670e+03
     52 +2.700000e-02 +7.105772e-03 +9.146831e+01 +2.488099e+03
     53 +2.700000e-02 +6.052886e-03 +9.157275e+01 +2.494365e+03
     54 +2.700000e-02 +5.000000e-03 +9.169771e+01 +2.501863e+03
     55 +2.700000e-02 +5.000000e-03 +9.169771e+01 +2.501863e+03
     56 +2.600000e-02 +5.000000e-03 +9.170487e+01 +2.502292e+03
     57 +2.500000e-02 +5.000000e-03 +9.155367e+01 +2.493220e+03
     58 +2.500000e-02 +5.000000e-03 +9.155367e+01 +2.493220e+03
     59 +2.500000e-02 +6.015787e-03 +9.117735e+01 +2.470641e+03
     60 +2.500000e-02 +7.031574e-03 +9.084074e+01 +2.450445e+03
     61 +2.500000e-02 +8.047361e-03 +9.052773e+01 +2.431664e+03
     62 +2.500000e-02 +9.063148e-03 +9.023920e+01 +2.414352e+03
     63 +2.500000e-02 +1.007894e-02 +8.997527e+01 +2.398516e+03
     64 +2.500000e-02 +1.109472e-02 +8.973584e+01 +2.384151e+03
     65 +2.500000e-02 +1.211051e-02 +8.952079e+01 +2.371247e+03
     66 +2.500000e-02 +1.312630e-02 +8.932997e+01 +2.359798e+03
     67 +2.500000e-02 +1.414208e-02 +8.916322e+01 +2.349793e+03
     68 +2.500000e-02 +1.515787e-02 +8.902038e+01 +2.341223e+03
     69 +2.500000e-02 +1.617366e-02 +8.890140e+01 +2.334084e+03
     70 +2.500000e-02 +1.718944e-02 +8.880627e+01 +2.328376e+03
     71 +2.500000e-02 +1.820523e-02 +8.873493e+01 +2.324096e+03
     72 +2.500000e-02 +1.922102e-02 +8.868724e+01 +2.321235e+03
     73 +2.500000e-02 +2.023681e-02 +8.866376e+01 +2.319826e+03
     74 +2.500000e-02 +2.023681e-02 +8.866376e+01 +2.319826e+03
     75 +2.400000e-02 +2.023681e-02 +8.866389e+01 +2.319834e+03
     76 +2.400000e-02 +2.023681e-02 +8.866389e+01 +2.319834e+03
     77 +2.400000e-02 +1.922102e-02 +8.868726e+01 +2.321235e+03
     78 +2.400000e-02 +1.820523e-02 +8.873487e+01 +2.324092e+03
     79 +2.400000e-02 +1.718944e-02 +8.880618e+01 +2.328371e+03
