t = 2.610000
x    u(x,t)
0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 5.188869004649824257e-01
2.000000000000000111e-01 1.038761553885785505e+00
3.000000000000000444e-01 1.560607925138328467e+00
4.000000000000000222e-01 2.085402446573133783e+00
5.000000000000000000e-01 2.614110359999538336e+00
6.000000000000000888e-01 3.147682186239296076e+00
7.000000000000000666e-01 3.687050360961492412e+00
8.000000000000000444e-01 4.233126072375431370e+00
9.000000000000000222e-01 4.786796332598044046e+00
1.000000000000000000e+00 5.348921310225342118e+00
1.100000000000000089e+00 5.920331946933220735e+00
1.200000000000000178e+00 6.501827875929657274e+00
1.300000000000000044e+00 7.094175654900447547e+00
1.400000000000000133e+00 7.698107320857365821e+00
1.500000000000000000e+00 8.314319269130445278e+00
1.600000000000000089e+00 8.943471453758519374e+00
1.700000000000000178e+00 9.586186901826836859e+00
1.800000000000000044e+00 1.024305152996821988e+01
1.900000000000000133e+00 1.091461424736030317e+01
2.000000000000000000e+00 1.160138732617492252e+01
2.100000000000000089e+00 1.230384701760871025e+01
2.200000000000000178e+00 1.302243438937020592e+01
2.300000000000000266e+00 1.375755635882493522e+01
2.400000000000000355e+00 1.450958689489596232e+01
2.500000000000000000e+00 1.527886836125767367e+01
2.600000000000000089e+00 1.606571297330595627e+01
2.700000000000000178e+00 1.687040434178712189e+01
2.800000000000000266e+00 1.769319907676064929e+01
2.900000000000000355e+00 1.853432842668818736e+01
3.000000000000000000e+00 1.939399992881089574e+01
3.100000000000000089e+00 2.027239904852210728e+01
3.200000000000000178e+00 2.116969078708593344e+01
3.300000000000000266e+00 2.208602123871860101e+01
3.400000000000000355e+00 2.302151907966448263e+01
3.500000000000000000e+00 2.397629697339421639e+01
3.600000000000000089e+00 2.495045287736397199e+01
3.700000000000000178e+00 2.594407123784472802e+01
3.800000000000000266e+00 2.695722406010929362e+01
3.900000000000000355e+00 2.798997184170791286e+01
4.000000000000000000e+00 2.904236435663793614e+01
4.100000000000000533e+00 3.011444127789171077e+01
4.200000000000000178e+00 3.120623262513286633e+01
4.299999999999999822e+00 3.231775902309660609e+01
4.400000000000000355e+00 3.344903175473607604e+01
4.500000000000000000e+00 3.460005259115702358e+01
4.600000000000000533e+00 3.577081337801958938e+01
4.700000000000000178e+00 3.696129535537377819e+01
4.800000000000000711e+00 3.817146818488241422e+01
4.900000000000000355e+00 3.940128865513199941e+01
5.000000000000000000e+00 4.065069903231356818e+01
5.100000000000000533e+00 4.191962502006251867e+01
5.200000000000000178e+00 4.320797328878477117e+01
5.300000000000000711e+00 4.451562853148804777e+01
5.400000000000000355e+00 4.584245000011963356e+01
5.500000000000000000e+00 4.718826747383930353e+01
5.600000000000000533e+00 4.855287660869510091e+01
5.700000000000000178e+00 4.993603361700022703e+01
5.800000000000000711e+00 5.133744922451953840e+01
5.900000000000000355e+00 5.275678185455805647e+01
6.000000000000000000e+00 5.419362999039663009e+01
6.100000000000000533e+00 5.564752367142905598e+01
6.200000000000000178e+00 5.711791508399920048e+01
6.300000000000000711e+00 5.860416821547128308e+01
6.400000000000000355e+00 6.010554754962183210e+01
6.500000000000000000e+00 6.162120579311034163e+01
6.600000000000000533e+00 6.315017063661094454e+01
6.700000000000000178e+00 6.469133057016546218e+01
6.800000000000000711e+00 6.624341979037255612e+01
6.900000000000000355e+00 6.780500225702085970e+01
7.000000000000000000e+00 6.937445497848551668e+01
7.100000000000000533e+00 7.094995062834099997e+01
7.200000000000000178e+00 7.252943961981939935e+01
7.300000000000000711e+00 7.411063178950270469e+01
7.400000000000000355e+00 7.569097786644421433e+01
7.500000000000000000e+00 7.726765092716799188e+01
7.600000000000000533e+00 7.883752806003056435e+01
7.700000000000000178e+00 8.039717248354962464e+01
7.800000000000000711e+00 8.194281638177741911e+01
7.900000000000000355e+00 8.347034473489549100e+01
8.000000000000000000e+00 8.497528043421974075e+01
8.099999999999999645e+00 8.645277097706238578e+01
8.200000000000001066e+00 8.789757703780740883e+01
8.300000000000000711e+00 8.930406320661455766e+01
8.400000000000000355e+00 9.066619117599755384e+01
8.500000000000000000e+00 9.197751563788476403e+01
8.599999999999999645e+00 9.323118312959675791e+01
8.700000000000001066e+00 9.441993403656177009e+01
8.800000000000000711e+00 9.553610792283120645e+01
8.900000000000000355e+00 9.657165231803242023e+01
9.000000000000000000e+00 9.751813504197065186e+01
9.099999999999999645e+00 9.836676009651523600e+01
9.200000000000001066e+00 9.910838709967792681e+01
9.300000000000000711e+00 9.973355418006011064e+01
9.400000000000000355e+00 1.002325041923600111e+02
9.500000000000000000e+00 1.005952140577129938e+02
9.600000000000001421e+00 1.008114269776496741e+02
9.700000000000001066e+00 1.008706872187445782e+02
9.800000000000000711e+00 1.007623771178962784e+02
9.900000000000000355e+00 1.004757559168374996e+02
1.000000000000000000e+01 1.000000000000000000e+02
